Date,OpeningPrice,ClosingPrice,HighestPrice,LowestPrice
Thu May 16 23:55:59 EEST 2024,0.00,0.00,7835.33,7161.04
Fri May 17 00:12:34 EEST 2024,7835.33,0.00,7986.76,7835.33
Fri May 17 00:14:28 EEST 2024,0.00,0.00,8209.36,7986.76
Fri May 17 00:15:50 EEST 2024,8209.36,0.00,8577.36,8209.36
Fri May 17 19:09:44 EEST 2024,0.00,0.00,9301.38,8577.36
Fri May 17 19:42:01 EEST 2024,0.00,0.00,10023.05,9301.38
Fri May 17 19:48:29 EEST 2024,0.00,0.00,11230.41,10023.05
Fri May 17 19:54:06 EEST 2024,0.00,0.00,12140.69,11230.41
Fri May 17 20:46:57 EEST 2024,0.00,0.00,13630.08,12140.69
Sat May 18 00:58:34 EEST 2024,0.00,0.00,13630.08,13630.08
Sat May 18 00:58:38 EEST 2024,0.00,0.00,16513.29,13630.08
Sat May 18 01:40:10 EEST 2024,0.00,0.00,19009.97,16513.29
