Date,OpeningPrice,ClosingPrice,HighestPrice,LowestPrice
Fri May 17 03:09:21 EEST 2024,0.00,0.00,22.32,20.00
Fri May 17 03:11:48 EEST 2024,22.32,0.00,22.32,22.32
Fri May 17 03:12:03 EEST 2024,22.32,0.00,22.32,22.32
Fri May 17 19:09:53 EEST 2024,0.00,0.00,23.22,22.32
Fri May 17 19:42:04 EEST 2024,0.00,0.00,24.57,23.22
Fri May 17 19:48:33 EEST 2024,0.00,0.00,27.38,24.57
Fri May 17 19:54:08 EEST 2024,0.00,0.00,28.83,27.38
Fri May 17 20:47:03 EEST 2024,0.00,0.00,28.90,28.83
Sat May 18 01:11:50 EEST 2024,0.00,0.00,33.83,28.90
Sat May 18 18:18:37 EEST 2024,0.00,0.00,33.83,28.71
Sat May 18 18:18:44 EEST 2024,0.00,0.00,32.62,28.71
Sat May 18 18:23:13 EEST 2024,0.00,0.00,36.25,32.62
Sat May 18 18:23:32 EEST 2024,0.00,0.00,40.12,36.25
Sat May 18 18:23:34 EEST 2024,0.00,0.00,40.12,37.40
